0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y,21x,21y,22x,22y,23x,23y,24x,24y
1001.08,221.359,998.284,350.733,912.898,344.902,880.574,480.162,839.323,597.966,1083.57,359.563,1104.24,483.134,1118.99,600.922,980.688,595.035,936.404,592.13,912.968,768.769,883.41,951.157,1030.63,594.979,1048.42,780.479,1068.73,971.734,980.62,203.626,1021.75,206.574,957.095,224.213,1045.34,233.007,1092.52,1024.81,1110.08,1015.95,1048.39,980.587,824.617,998.268,818.761,980.689,895.216,962.991
989.46,218.35,995.253,350.73,906.952,350.794,883.618,480.362,860.053,601.078,1071.96,350.784,1095.43,480.237,1119.06,600.927,977.825,589.185,930.597,589.13,907.166,765.726,883.398,951.225,1027.75,589.155,1048.3,777.522,1068.78,971.767,974.685,200.634,1010.03,203.547,951.129,224.209,1030.62,230.062,1095.31,1024.85,1110.14,1018.77,1048.39,980.596,818.685,998.263,815.748,983.506,895.283,968.804
989.459,221.063,995.351,350.792,906.986,350.77,886.417,480.301,862.825,601.023,1074.79,356.559,1095.47,483.133,1119.05,600.998,977.809,592.054,930.568,589.129,907.174,765.718,883.394,951.197,1027.74,589.185,1048.26,780.478,1068.81,971.725,974.691,200.655,1010.03,203.575,951.135,224.244,1030.64,230.099,1095.31,1024.83,1112.96,1018.76,1051.2,977.81,821.667,998.266,815.845,980.699,895.278,965.935
992.335,218.321,995.312,350.742,906.944,350.737,886.415,480.306,862.834,601.03,1074.77,353.672,1098.31,483.123,1119.03,600.953,977.777,592.069,930.531,589.137,909.929,765.718,883.392,951.258,1027.72,589.189,1048.26,780.478,1068.82,971.789,974.753,200.615,1010.06,200.811,951.167,224.208,1030.7,230.06,1092.55,1024.78,1110.15,1015.93,1051.24,980.622,821.618,998.255,815.823,980.692,895.241,968.839
992.341,218.343,995.323,347.868,906.962,350.752,886.432,480.292,862.858,600.959,1074.83,350.724,1095.56,480.27,1119.04,600.988,977.811,592.039,930.526,589.134,907.185,765.673,883.391,951.246,1027.77,589.143,1048.3,780.484,1068.81,971.797,974.769,200.64,1010.08,203.545,951.2,224.18,1033.59,230.092,1095.31,1024.86,1112.97,1018.78,1051.19,980.638,821.642,998.232,815.858,980.673,895.221,968.826
992.36,218.338,995.352,347.837,906.99,347.831,886.402,480.295,860.083,600.956,1074.88,350.782,1098.3,480.189,1119.1,600.935,977.795,589.154,930.492,583.309,909.934,762.884,883.395,951.173,1027.8,589.133,1048.28,783.356,1068.8,971.796,974.783,200.622,1012.95,203.528,951.245,224.119,1036.48,230.039,1095.33,1024.79,1112.99,1015.92,1048.4,980.624,821.689,998.236,815.874,980.673,895.216,965.887
992.4,218.323,995.354,347.863,907.007,347.864,886.44,480.279,860.06,600.967,1074.86,350.762,1098.31,480.175,1121.84,600.934,980.596,589.112,930.66,586.177,909.988,762.851,883.376,951.216,1027.77,586.206,1048.27,780.398,1068.82,971.814,974.813,200.619,1012.98,203.525,951.237,224.172,1033.62,230.102,1095.32,1024.81,1112.99,1015.94,1051.23,980.68,821.67,998.247,815.843,980.685,892.363,968.816
995.196,218.314,998.083,350.696,907.031,350.698,886.391,480.283,859.953,600.995,1074.89,350.795,1098.29,480.136,1121.9,600.962,977.817,589.186,930.577,586.209,912.922,765.72,883.363,951.152,1027.75,589.156,1048.32,777.556,1068.81,974.588,974.843,200.621,1015.85,203.565,951.23,224.141,1036.49,232.967,1095.36,1024.82,1112.97,1018.76,1051.22,980.678,821.63,998.292,815.8,983.537,892.327,965.921
995.196,218.314,998.083,350.696,907.031,350.698,886.391,480.283,859.953,600.995,1074.89,350.795,1098.29,480.136,1121.9,600.962,977.817,589.186,930.577,586.209,912.922,765.72,883.363,951.152,1027.75,589.156,1048.32,777.556,1068.81,974.588,974.843,200.621,1015.85,203.565,951.23,224.141,1036.49,232.967,1095.36,1024.82,1112.97,1018.76,1051.22,980.678,821.63,998.292,815.8,983.537,892.327,965.921
995.274,218.327,998.093,350.714,907.055,347.854,883.588,480.353,859.895,600.963,1074.88,353.667,1098.3,480.302,1121.96,600.94,980.566,595.052,930.643,594.986,910.052,765.837,883.384,951.149,1027.71,595.012,1048.31,783.318,1068.82,971.817,977.533,200.641,1015.95,203.569,951.259,224.215,1036.57,232.981,1092.51,1024.75,1110.12,1015.9,1051.25,980.654,818.725,998.31,815.763,983.526,892.366,965.875
995.315,221.072,995.363,347.871,907,347.814,883.509,480.34,857.113,600.932,1074.89,353.673,1098.33,480.158,1121.96,601.052,980.586,592.131,930.67,592.072,912.918,765.66,883.341,951.15,1027.76,592.095,1048.33,780.496,1068.8,974.602,977.56,200.675,1018.74,203.574,953.98,224.273,1039.42,233.01,1092.45,1024.72,1110.07,1015.88,1051.2,983.5,818.776,998.346,815.768,983.563,892.321,965.895
